9.043750700057917591e-07,2.962652137132074515e+01
9.043875699998871198e-07,2.914449638327855396e+01
9.044000700009213745e-07,2.841219785129942466e+01
9.044125700019556291e-07,2.744147983569161298e+01
9.044250700029898837e-07,2.624817079071783965e+01
9.044375700040241384e-07,2.485199683607290666e+01
9.044500700050583930e-07,2.327644668913538695e+01
9.044625700060926476e-07,2.154856791371407354e+01
9.044750700001880084e-07,1.969868655388888357e+01
9.044875700012222630e-07,1.776004058439007594e+01
9.045000700022565177e-07,1.576832139962364288e+01
9.045125700032907723e-07,1.376111940635961517e+01
9.045250700043250269e-07,1.177727353542657696e+01
9.045375700053592816e-07,9.856130418119068537e+00
9.045500699994546423e-07,8.036722996476655112e+00
9.045625700004888969e-07,6.356886282841960778e+00
9.045750700015231516e-07,4.852332086184594218e+00
9.045875700025574062e-07,3.555711481783399464e+00
9.046000700035916608e-07,2.495697905266106353e+00
9.046125700046259155e-07,1.696125422140140726e+00
9.046250700056601701e-07,1.175219242181480883e+00
9.046375699997555309e-07,9.449514122262954174e-01
9.046500700007897855e-07,1.010552843928996358e+00
9.046625700018240401e-07,1.370203468275640546e+00
9.046750700028582948e-07,2.014916306808606450e+00
9.046875700038925494e-07,2.928619733684641790e+00
9.047000700049268040e-07,4.088433401260064493e+00
9.047125700059610587e-07,5.465122749730445761e+00
9.047250700000564194e-07,7.023709575243849201e+00
9.047375700010906741e-07,8.724209653712556189e+00
9.047500700021249287e-07,1.052246402191163988e+01
9.047625700031591833e-07,1.237103010705335215e+01
9.047750700041934380e-07,1.422009921744720984e+01
9.047875700052276926e-07,1.601841089764618786e+01
9.048000700062619472e-07,1.771413914032622827e+01
9.048125700003573080e-07,1.925573195103308421e+01
9.048250700013915626e-07,2.059269258083825704e+01
9.048375700024258173e-07,2.167629683589657574e+01
9.048500700034600719e-07,2.246024803222684341e+01
9.048625700044943265e-07,2.290127596770137330e+01
9.048750700055285812e-07,2.295969088143308667e+01
9.048875699996239419e-07,2.259990704276136597e+01
