filename;rel_filepath;status;n_chunks;first_message;most_recent_message
'20240703_0000.csv';'20240703_0000.csv';'in_progress';766;'Mon Oct 28, 2024 at 23:58:12';'Mon Oct 28, 2024 at 23:58:13'
'20240703_0001.csv';'20240703_0001.csv';'in_progress';6261;'Mon Oct 28, 2024 at 23:58:13';'Tue Oct 29, 2024 at 00:00:05'
